question,correct,sp_precision,sp_recall,generated_answer,gold_answer,subquery_1,subquery_2,subquery_3,subquery_4,subanswer_1,subanswer_2,subanswer_3,subanswer_4,num_retrieved,num_gold,retrieved_1,retrieved_2,retrieved_3,retrieved_4,retrieved_5,retrieved_6,retrieved_7,retrieved_8,retrieved_9,retrieved_10,retrieved_11,retrieved_12,retrieved_13,retrieved_14,retrieved_15,retrieved_16,retrieved_17,retrieved_18,retrieved_19,retrieved_20,retrieved_21,retrieved_22,retrieved_23,retrieved_24,retrieved_25,retrieved_26,retrieved_27,retrieved_28,retrieved_29,retrieved_30,retrieved_31,gold_1,gold_2,gold_3,gold_4,gold_5
Who was the writer of These Boots Are Made for Walkin' and who died in 2007?,1,0.25,1.0,Lee Hazlewood,Barton Lee Hazlewood,The writer of the song *These Boots Are Made for Walkin'* is [ANSWER_1].,The person named Lee Hazlewood died in the year [ANSWER_2].,,,Lee Hazlewood,2007,,,8,2,"""These Boots Are Made for Walkin' is a hit song written by Lee Hazlewood and recorded by Nancy Sinatra.","It charted January 22, 1966 and reached No. 1 in the United States ""Billboard"" Hot 100 and in the UK Singles Chart.",Boots is a 1966 debut studio album by Nancy Sinatra.,The album was produced by Lee Hazlewood.,Billy Strange was the arranger and conductor.,"The album is titled after the song on the album ""These Boots Are Made for Walkin'"", which became a #1 hit for Sinatra.",Most of the other songs on the album are covers of then-recent hits.,"Barton Lee Hazlewood (July 9, 1929 – August 4, 2007) was an American country and pop singer, songwriter, and record producer, most widely known for his work with guitarist Duane Eddy during the late 1950s and singer Nancy Sinatra in the 1960s.",,,,,,,,,,,,,,,,,,,,,,,,"""These Boots Are Made for Walkin' is a hit song written by Lee Hazlewood and recorded by Nancy Sinatra.","Barton Lee Hazlewood (July 9, 1929 – August 4, 2007) was an American country and pop singer, songwriter, and record producer, most widely known for his work with guitarist Duane Eddy during the late 1950s and singer Nancy Sinatra in the 1960s.",,,
"The 2011–12 VCU Rams men's basketball team, led by third year head coach Shaka Smart, represented Virginia Commonwealth University which was founded in what year?",1,0.0833,0.5,1838,1838,Virginia Commonwealth University was founded in [ANSWER_1].,,,,1838,,,,12,2,"Virginia Commonwealth University (VCU) is a public research university located in Richmond, Virginia.","VCU was founded in 1838 as the medical department of Hampden–Sydney College, becoming the Medical College of Virginia in 1854.","In 1968, the Virginia General Assembly merged MCV with the Richmond Professional Institute, founded in 1917, to create Virginia Commonwealth University.","In 2015, more than 31,000 students pursue 226 degree and certificate programs through VCU's 13 schools and one college.","The VCU Health System supports the university's health care education, research and patient care mission.",The 2014–15 VCU Rams men's basketball team represented Virginia Commonwealth University during the 2014–15 NCAA Division I men's basketball season.,It was the 47th season of the University fielding a men's basketball program.,"Led by sixth-year head coach Shaka Smart, they continued to play their home games at the Stuart C. Siegel Center.",They were a member of the Atlantic 10 Conference.,"They finished the season 26–10, 12–6 in A-10 play to finish in a tie for fourth place.","They defeated Fordham, Richmond, Davidson, and Dayton to become champions of the Atlantic 10 Tournament.",They received an automatic bid to the NCAA Tournament where they lost in the second round to Ohio State.,,,,,,,,,,,,,,,,,,,,"Led by third-year head coach Shaka Smart, the Rams were coming off a season marked by a run to the Final Four.","VCU was founded in 1838 as the medical department of Hampden–Sydney College, becoming the Medical College of Virginia in 1854.",,,
"Are both Dictyosperma, and Huernia described as a genus?",1,0.1818,1.0,Yes,yes,The taxonomic rank assigned to *Dictyosperma* is [ANSWER_1].,The taxonomic rank assigned to *Huernia* is [ANSWER_2].,,,genus,genus,,,11,2,"Dictyosperma is a monotypic genus of flowering plant in the palm family found in the Mascarene Islands in the Indian Ocean (Mauritius, Réunion and Rodrigues).","The sole species, Dictyosperma album, is widely cultivated in the tropics but has been farmed to near extinction in its native habitat.","It is commonly called princess palm or hurricane palm, the latter owing to its ability to withstand strong winds by easily shedding leaves.","It is closely related to, and resembles, palms in the ""Archontophoenix"" genus.","The genus is named from two Greek words meaning ""net"" and ""seed"" and the epithet is Latin for ""white"", the common color of the crownshaft at the top of the trunk.","The genus Huernia (family Apocynaceae, subfamily Asclepiadoideae) consists of stem succulents from Eastern and Southern Africa, first described as a genus in 1810.","The flowers are five-lobed, usually somewhat more funnel- or bell-shaped than in the closely related genus ""Stapelia"", and often striped vividly in contrasting colours or tones, some glossy, others matt and wrinkled depending on the species concerned.","To pollinate, the flowers attract flies by emitting a scent similar to that of carrion.","The genus is considered close to the genera ""Stapelia"" and ""Hoodia"".",The name is in honour of Justin Heurnius (1587–1652) a Dutch missionary who is reputed to have been the first collector of South African Cape plants.,His name was actually mis-spelt by the collector.,,,,,,,,,,,,,,,,,,,,,"Dictyosperma is a monotypic genus of flowering plant in the palm family found in the Mascarene Islands in the Indian Ocean (Mauritius, Réunion and Rodrigues).","The genus Huernia (family Apocynaceae, subfamily Asclepiadoideae) consists of stem succulents from Eastern and Southern Africa, first described as a genus in 1810.",,,
Kaiser Ventures corporation was founded by an American industrialist who became known as the father of modern American shipbuilding?,1,0.1111,0.3333,Henry J. Kaiser,Henry J. Kaiser,The American industrialist known as the father of modern American shipbuilding is [ANSWER_1].,,,,Henry J. Kaiser,,,,9,3,"Henry John Kaiser (May 9, 1882 – August 24, 1967) was an American industrialist who became known as the father of modern American shipbuilding.","He established the Kaiser Shipyards, which built Liberty ships during World War II, after which he formed Kaiser Aluminum and Kaiser Steel.",Kaiser organized Kaiser Permanente health care for his workers and their families.,"He led Kaiser-Frazer followed by Kaiser Motors, automobile companies known for the safety of their designs.","Kaiser was involved in large construction projects such as civic centers and dams, and invested in real estate.","With his wealth, he established the Kaiser Family Foundation, a nonprofit, non-partisan, charitable organization.",John Roach & Sons was a major 19th-century American shipbuilding and manufacturing firm founded in 1864 by Irish-American immigrant John Roach.,"Between 1871 and 1885, the company was the largest shipbuilding firm in the United States, building more iron ships than its next two major competitors combined.","It was also by far the largest contractor to the U.S. Navy during this period, and at its peak is said to have been the nation's largest employer behind the railroads.",,,,,,,,,,,,,,,,,,,,,,,"Kaiser Ventures (formerly Kaiser Steel) corporation, headquartered in Ontario, California.","It was founded by Henry J. Kaiser to provide steel plate for the Pacific Coast shipbuilding industry, which expanded during World War II, then shrank, then expanded again during the Korean War.","Henry John Kaiser (May 9, 1882 – August 24, 1967) was an American industrialist who became known as the father of modern American shipbuilding.",,
"What is the name for the adventure in ""Tunnels and Trolls"", a game designed by Ken St. Andre?",0,0.3333,0.5,"[Tunnels & Trolls solo adventure] ""Buffalo Castle""",Arena of Khazan,The tabletop role-playing game designed by Ken St. Andre is called [ANSWER_1].,,,,"""Tunnels & Trolls""",,,,3,2,"Tunnels & Trolls (abbreviated ""T&T"") is a fantasy role-playing game designed by Ken St. Andre and first published in 1975 by Flying Buffalo.","The second modern role-playing game published, it was written by Ken St. Andre to be a more accessible alternative to ""Dungeons & Dragons"" and is suitable for solitaire, group, and play-by-mail gameplay.",Starfaring is a science fiction role-playing game created by Ken St. Andre and published by Flying Buffalo in August 1976.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arena of Khazan is a 1979 role-playing game adventure for ""Tunnels & Trolls"" published by Flying Buffalo.","Tunnels & Trolls (abbreviated ""T&T"") is a fantasy role-playing game designed by Ken St. Andre and first published in 1975 by Flying Buffalo.",,,
"When was Poison's album ""Shut Up, Make Love"" released?",0,0.1818,1.0,"March 14, 2000",2000,"The release date of Poison's album *""Shut Up, Make Love""* is [ANSWER_1].",,,,"March 14, 2000",,,,11,2,"""Shut Up, Make Love"" is a song by American rock band Poison; released in 2000, it was the first single presented to radio stations from their 2000 ""Crack a Smile...and More!",""" album.","The song also appears on the second promo single ""Be the One"" as a B-side.","""Crack a Smile"" is Poison's fifth studio album, released on March 14, 2000, and charting at #131 on The Billboard 200.",The song was the first Poison single with lead guitarist Blues Saraceno.,Poison is an American rock band that achieved great commercial success in the mid-1980s to the mid-1990s.,Poison has sold over 40 million records worldwide and has sold 15 million records in the United States alone.,"The band has also charted ten singles to the Top 40 of the ""Billboard"" Hot 100, including six Top 10 singles and the Hot 100 number-one, ""Every Rose Has Its Thorn"".","The band's breakthrough debut album, the multi-platinum ""Look What the Cat Dragged In"", was released in 1986 and they hit their peak with the second album, ""Open Up and Say... Ahh!",""", which became the band's most successful album, being certified 5x platinum in the US.","The popularity continued into the new decade with their third consecutive multi-platinum selling album, ""Flesh & Blood"".",,,,,,,,,,,,,,,,,,,,,"""Shut Up, Make Love"" is a song by American rock band Poison; released in 2000, it was the first single presented to radio stations from their 2000 ""Crack a Smile...and More!",Poison is an American rock band that achieved great commercial success in the mid-1980s to the mid-1990s.,,,
"Hayden is a singer-songwriter from Canada, but where does Buck-Tick hail from?",0,0.125,0.5,Japan,"Fujioka, Gunma",The country of origin for the band Buck-Tick is [ANSWER_1].,,,,Japanese,,,,8,2,"Buck-Tick (stylized as BUCK-TICK) is a Japanese rock band, formed in Fujioka, Gunma in 1983.","The group has consisted of Atsushi Sakurai (lead vocals), Hisashi Imai (guitar), Hidehiko Hoshino (guitar), Yutaka Higuchi (bass) and Toll Yagami (drums) since 1985.","In their three decade career, the band has released 20 studio albums, nearly all reaching the top ten on the charts, of which three in the late eighties and early nineties topped them.",They are commonly credited as one of the founders of the visual kei movement.,"Atsushi Sakurai (櫻井 敦司 , Sakurai Atsushi , born March 7, 1966 in Fujioka, Gunma) is a Japanese musician and singer-songwriter.","He has been the vocalist of the rock band Buck-Tick since 1985, previously being their drummer from 1983.","He released the solo album ""Ai no Wakusei"" in 2004 and was also a member of Schwein alongside Hisashi Imai (Buck-Tick), Sascha Konietzko (KMFDM) and Raymond Watts.","In 2015, he formed a solo project called The Mortal.",,,,,,,,,,,,,,,,,,,,,,,,"Paul Hayden Desser (born February 12, 1971) who records as Hayden, is a Canadian singer-songwriter from Thornhill, Ontario.","Buck-Tick (stylized as BUCK-TICK) is a Japanese rock band, formed in Fujioka, Gunma in 1983.",,,
Which  French ace pilot and adventurer fly L'Oiseau Blanc,0,0.125,0.5,Charles Nungesser,Charles Eugène,The name of the French aircraft that disappeared in 1927 during a transatlantic flight attempt is [ANSWER_1].,"The French ace pilot and adventurer who co-piloted ""L'Oiseau Blanc"" is [ANSWER_2].",,,"""L'Oiseau Blanc""",Charles Nungesser,,,8,2,"L'Oiseau Blanc (commonly known in the English-speaking world as The White Bird ) was a French Levasseur PL.8 biplane that disappeared in 1927, during an attempt to make the first non-stop transatlantic flight between Paris and New York City to compete for the Orteig Prize.","The aircraft was flown by French World War I aviation heroes, Charles Nungesser and François Coli.",The aircraft took off from Paris on 8 May 1927 and was last seen over Ireland.,"Less than two weeks later, Charles Lindbergh successfully made the New York–Paris journey and claimed the prize, flying the ""Spirit of St. Louis"".","The Levasseur PL.8 was a single engine, two-seat long-distance record-breaking biplane aircraft modified from an existing Levasseur PL.4 carrier-based reconnaissance aircraft produced in France in the 1920s.","Levasseur built the aircraft in 1927, specifically for pilots Charles Nungesser and François Coli for a transatlantic attempt to win the Orteig Prize.","Only two examples of the type were built, with the first PL.8-01 named ""L'Oiseau Blanc"" (The White Bird), that gained fame as Nungesser and Coli's aircraft.","François Coli (June 5, 1881 – presumably on or after May 8, 1927) was a French pilot and navigator best known as the one-eyed flying partner of Charles Nungesser in their doomed attempt to fly the Atlantic Ocean on the aircraft known as ""L'Oiseau Blanc"".",,,,,,,,,,,,,,,,,,,,,,,,"The aircraft was flown by French World War I aviation heroes, Charles Nungesser and François Coli.","Charles Eugène Jules Marie Nungesser, MC (15 March 1892 – presumably on or after 8 May 1927) was a French ace pilot and adventurer, best remembered as a rival of Charles Lindbergh.",,,
Are Freakonomics and In the Realm of the Hackers both American documentaries?,1,0.1111,1.0,No,no,The country of origin for the documentary *Freakonomics* is [ANSWER_1].,The country of origin for the documentary *In the Realm of the Hackers* is [ANSWER_2].,,,American,Australian,,,18,2,"Freakonomics: The Movie is a 2010 American documentary film based on the 2005 book ""Freakonomics: A Rogue Economist Explores the Hidden Side of Everything"" by economist Steven D. Levitt and writer Stephen J. Dubner.",The film premiered at the Tribeca Film Festival in April 2010 with a theatrical release later in the year.,The film received a lukewarm reception and a 65% fresh rating at Rottentomatoes.,Freakonomics Radio is an American public radio program which discusses socioeconomic issues for a general audience.,"The show is a spin-off of the 2005 book ""Freakonomics"".","Journalist Stephen Dubner hosts the show, with economist Steven Levitt as a regular guest.","The show is also distributed as a podcast, and is among the most popular on iTunes.","Created in September 2010, it is a weekly podcast.","Twice a year, a series of one-hour ""Freakonomics Radio"" specials air on public-radio stations around the country.","In The Realm of the Hackers is a 2003 Australian documentary directed by Kevin Anderson about the prominent hacker community, centered in Melbourne, Australia in the late 1980s until early 1990.","The storyline is centered on the Australian teenagers going by the hacker names ""Electron"" and ""Phoenix"", who were members of an elite computer hacking group called 'The Realm' and hacked into some of the most secure computer networks in the world, including those of the US Naval Research Laboratory, Lawrence Livermore National Laboratory, a government lab charged with the security of the US nuclear stockpile, and NASA.","The film runs for 55 minutes and was inspired by the book ""Underground"", by Melbourne-based writer and academic Suelette Dreyfus.","Hackers is a 1995 American crime film directed by Iain Softley and starring Jonny Lee Miller, Angelina Jolie, Renoly Santiago, Matthew Lillard, Jesse Bradford, Lorraine Bracco, and Fisher Stevens.",The film follows a group of high school hackers and their involvement in a corporate extortion conspiracy.,"Made in the 1990s when the internet was unfamiliar to the general public, it reflects the ideals laid out in the Hacker Manifesto quoted in the film: ""This is our world now... the world of the electron and the switch [...] We exist without skin color, without nationality, without religious bias... and you call us criminals.","[...] Yes, I am a criminal.","My crime is that of curiosity.""","""Hackers"" has achieved cult classic status.",,,,,,,,,,,,,,"Freakonomics: The Movie is a 2010 American documentary film based on the 2005 book ""Freakonomics: A Rogue Economist Explores the Hidden Side of Everything"" by economist Steven D. Levitt and writer Stephen J. Dubner.","In The Realm of the Hackers is a 2003 Australian documentary directed by Kevin Anderson about the prominent hacker community, centered in Melbourne, Australia in the late 1980s until early 1990.",,,
"Which band, Letters to Cleo or Screaming Trees, had more members?",1,0.3636,1.0,Letters to Cleo,Letters to Cleo,The number of members in the band Letters to Cleo was [ANSWER_1].,The number of members in the band Screaming Trees was [ANSWER_2].,,,six,four,,,11,4,"Letters to Cleo are an alternative rock band from Boston, Massachusetts, best known for the 1994 single, ""Here & Now"", from their full-length debut album, ""Aurora Gory Alice"".","The band's members are Kay Hanley, Greg McKenna, Michael Eisenstein, Stacy Jones, Scott Riebling, and later, Tom Polce.",Truly is an American rock band formed in the wake of the grunge era.,"It featured singer-guitarist Robert Roth, bassist Hiro Yamamoto, and drummer Mark Pickerel.",Yamamoto and Pickerel were founding members respectively of Soundgarden and Screaming Trees.,"While not a commercially successful group like some of their Seattle contemporaries, the band lasted a decade with two studio albums to their name.","Screaming Trees was an American rock band formed in Ellensburg, Washington in 1985 by vocalist Mark Lanegan, guitarist Gary Lee Conner, bass player Van Conner and drummer Mark Pickerel.",Pickerel had been replaced by Barrett Martin by the time the band reached its most successful period.,"Although widely associated with grunge, the band's sound incorporated hard rock and psychedelic elements.","During Screaming Trees' existence the band released seven studio albums, five EPs, and three compilations.","The discography of Screaming Trees, an Ellensburg, Washington-based rock band, consists of seven studio albums, three compilation albums, five extended plays (EP), and six singles, though this does not include any solo material recorded by the individual members of Screaming Trees.",,,,,,,,,,,,,,,,,,,,,"Letters to Cleo are an alternative rock band from Boston, Massachusetts, best known for the 1994 single, ""Here & Now"", from their full-length debut album, ""Aurora Gory Alice"".","The band's members are Kay Hanley, Greg McKenna, Michael Eisenstein, Stacy Jones, Scott Riebling, and later, Tom Polce.","Screaming Trees was an American rock band formed in Ellensburg, Washington in 1985 by vocalist Mark Lanegan, guitarist Gary Lee Conner, bass player Van Conner and drummer Mark Pickerel.",Pickerel had been replaced by Barrett Martin by the time the band reached its most successful period.,
Alexander Kerensky was defeated and destroyed by the Bolsheviks in the course of a civil war that ended when ?,0,0.0476,0.5,1923,October 1922,The civil war in which Alexander Kerensky was defeated by the Bolsheviks is known as [ANSWER_1].,The year when Russian Civil War ended is [ANSWER_2].,,,Russian Civil War,1923,,,21,2,"Alexander Fyodorovich Kerensky (Russian: Алекса́ндр Фёдорович Ке́ренский , ] ; 4 May 1881 – 11 June 1970) was a Russian lawyer and key political figure in the Russian Revolution of 1917.","After the February Revolution of 1917 he joined the newly formed Russian Provisional Government, first as Minister of Justice, then as Minister of War, and after July 1917 as the government's second Minister-Chairman.","A leader of the moderate-socialist Trudoviks faction of the Socialist Revolutionary Party, he was also vice-chairman of the powerful Petrograd Soviet.","On 7 November, his government was overthrown by the Lenin-led Bolsheviks in the October Revolution.","He spent the remainder of his life in exile, in Paris and New York City, and worked for the Hoover Institution.","The Russian Civil War (Russian: Гражда́нская война́ в Росси́и , ""Grazhdanskaya voyna v Rossiyi"" ; November 1917 – October 1922) was a multi-party war in the former Russian Empire immediately after the Russian Revolutions of 1917, as many factions vied to determine Russia's political future.","The two largest combatant groups were the Red Army, fighting for the Bolshevik form of socialism led by Vladimir Lenin, and the loosely allied forces known as the White Army, which included diverse interests favoring monarchism, capitalism and alternative forms of socialism, each with democratic and antidemocratic variants.","In addition, rival militant socialists and nonideological Green armies fought against both the Bolsheviks and the Whites.","Eight foreign nations intervened against the Red Army, notably the Allied Forces and the pro-German armies.",The Red Army defeated the White Armed Forces of South Russia in Ukraine and the army led by Admiral Aleksandr Kolchak in Siberia in 1919.,The remains of the White forces commanded by Pyotr Nikolayevich Wrangel were beaten in Crimea and evacuated in late 1920.,"Lesser battles of the war continued on the periphery for two more years, and minor skirmishes with the remnants of the White forces in the Far East continued well into 1923.","The war ended in 1923 in the sense that Red control of the newly formed Soviet Union was now assured, although armed national resistance in Central Asia was not completely crushed until 1934.","There were an estimated 7,000,000–12,000,000 casualties during the war, mostly civilians.",The Russian Civil War has been described by some as the greatest national catastrophe that Europe had yet seen.,The Battle of Romanovka was fought in June 1919 during the Russian Civil War.,"Russian Bolsheviks of Yakov Triapitsyn launched a surprise attack on an American army camp at Romanovka, Siberia near Vladivostok.","As a result of the engagement, the attacks were repelled.",Romanovka and the Suchan Valley Campaign that followed were the final major engagements of the Russian Civil War involving the United States.,"Battles would later break out again between the Americans and Bolsheviks, as well as the Cossacks, on much smaller scales.","Likewise, the Americans were invariably victorious.",,,,,,,,,,,"The anti-Bolshevik faction of this party, known as the Right SRs, which remained loyal to the Provisional Government leader Alexander Kerensky was defeated and destroyed by the Bolsheviks in the course of the Russian Civil War and subsequent persecution.","The Russian Civil War (Russian: Гражда́нская война́ в Росси́и , ""Grazhdanskaya voyna v Rossiyi"" ; November 1917 – October 1922) was a multi-party war in the former Russian Empire immediately after the Russian Revolutions of 1917, as many factions vied to determine Russia's political future.",,,
Seven Brief Lessons on Physics was written by an Italian physicist that has worked in France since what year?,1,0.2857,1.0,2000,2000,The author of *Seven Brief Lessons on Physics* is [ANSWER_1].,Carlo Rovelli began working in France in the year [ANSWER_2].,,,Carlo Rovelli,2000,,,7,2,"Seven Brief Lessons on Physics (Italian: """" ) is a short book by the Italian physicist Carlo Rovelli.","Originally published in Italian in 2014, the book has been translated into 41 languages.","It is an Italian bestseller, with more than 300,000 copies sold in Rovelli's home country.","Carlo Rovelli (born 3 May 1956) is an Italian theoretical physicist and writer who has worked in Italy, the United States and since 2000, in France.","His work is mainly in the field of quantum gravity, where he is among the founders of the loop quantum gravity theory.",He has also worked in the history and philosophy of science.,"He collaborates regularly with several Italian newspapers, in particular the cultural supplements of ""Il Corriere della Sera"", ""Il Sole 24 Ore"" and ""La Repubblica"".",,,,,,,,,,,,,,,,,,,,,,,,,"Seven Brief Lessons on Physics (Italian: """" ) is a short book by the Italian physicist Carlo Rovelli.","Carlo Rovelli (born 3 May 1956) is an Italian theoretical physicist and writer who has worked in Italy, the United States and since 2000, in France.",,,
"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?",1,0.125,0.5,World War II,World War II,The war with over 60 million casualties is [ANSWER_1].,,,,World War II,,,,8,2,World War II was the deadliest military conflict in history in absolute terms of total casualties.,"Over 60 million people were killed, which was about 3% of the 1940 world population (est. 2.3 billion).",The tables below give a detailed country-by-country count of human losses.,"World War II fatality statistics vary, with estimates of total deaths ranging from 50 million to more than 80 million.",The higher figure of over 80 million includes deaths from war-related disease and famine.,"Civilians killed totalled 50 to 55 million, including 19 to 28 million from war-related disease and famine.","Military deaths from all causes totalled 21 to 25 million, including deaths in captivity of about 5 million prisoners of war.",The Rainham War Memorial commemorates soldiers killed in both World Wars as well as civilian casualties of World War II.,,,,,,,,,,,,,,,,,,,,,,,,The Livesey Hall War Memorial commemorates the fallen of World War I and World War II who had been employed by the South Suburban Gas Company of London.,"Over 60 million people were killed, which was about 3% of the 1940 world population (est. 2.3 billion).",,,
Are both Elko Regional Airport and Gerald R. Ford International Airport located in Michigan?,1,0.4,1.0,No,no,The U.S. state where Elko Regional Airport is located is [ANSWER_1].,The U.S. state where Gerald R. Ford International Airport is located is [ANSWER_2].,,,Nevada,Michigan,,,5,2,"Elko Regional Airport (IATA: EKO, ICAO: KEKO, FAA LID: EKO) , formerly Elko Municipal Airport, is a mile west of downtown Elko, in Elko County, Nevada.","Gerald R. Ford International Airport (IATA: GRR, ICAO: KGRR, FAA LID: GRR) is a commercial airport in Cascade Township approximately 13 mi southeast of Grand Rapids, Michigan.",The facility is owned by the Kent County Board of Commissioners and managed by an independent authority.,The Federal Aviation Administration (FAA) National Plan of Integrated Airport Systems for 2017–2021 categorized it as a small hub primary commercial service facility.,The Gerald R. Ford Freeway refers to Interstate Highways named for former President Gerald R. Ford in Omaha (where he was born) and Michigan (where he grew up and was a Congressman):,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elko Regional Airport (IATA: EKO, ICAO: KEKO, FAA LID: EKO) , formerly Elko Municipal Airport, is a mile west of downtown Elko, in Elko County, Nevada.","Gerald R. Ford International Airport (IATA: GRR, ICAO: KGRR, FAA LID: GRR) is a commercial airport in Cascade Township approximately 13 mi southeast of Grand Rapids, Michigan.",,,
Ralph Hefferline was a psychology professor at a university that is located in what city?,1,0.2857,1.0,New York City,New York City,The university where Ralph Hefferline was a psychology professor is [ANSWER_1].,The city where Columbia University is located is [ANSWER_2].,,,Columbia University,New York City,,,7,2,"Ralph Franklin Hefferline (15 February 1910 in Muncie, Indiana – 16 March 1974) was a psychology professor at Columbia University.","David C. Funder (Ph.D., Stanford University, 1979) is a psychology professor who has written a number of important textbooks and research articles pertaining to the field of personality psychology.","Funder resides as the chair of the Psychology department at the University of California, Riverside.","He used to be a past editor of the ""Journal of Research and Personality"", as well as being a former secondary editor of the ""Journal of Personality and Social Psychology"".",Funder has been praised for his studies on personality judgment.,"He had also published research over the attribution theory and the ""delay of gratification"".","Columbia University (Columbia; officially Columbia University in the City of New York), established in 1754, is a private Ivy League research university in Upper Manhattan, New York City, often cited as one of the world's most prestigious universities.",,,,,,,,,,,,,,,,,,,,,,,,,"Ralph Franklin Hefferline (15 February 1910 in Muncie, Indiana – 16 March 1974) was a psychology professor at Columbia University.","Columbia University (Columbia; officially Columbia University in the City of New York), established in 1754, is a private Ivy League research university in Upper Manhattan, New York City, often cited as one of the world's most prestigious universities.",,,
Which dog's ancestors include Gordon and Irish Setters: the Manchester Terrier or the Scotch Collie?,1,0.1667,1.0,Scotch Collie,Scotch Collie,The breeds listed as ancestors of the Manchester Terrier are [ANSWER_1].,The breeds listed as ancestors of the Scotch Collie are [ANSWER_2].,,,None listed.,"Roman Cattle Dogs, Native Celtic Dogs and Viking Herding Spitzes, Gordon and Irish Setters",,,18,3,The Manchester Terrier is a breed of dog of the smooth-haired terrier type.,"The Toy Manchester Terrier is a breed of dog, categorized as a terrier.","The breed was bred down in size in North America from the Manchester Terrier, and is placed in the Toy Group by the American Kennel Club and the Canadian Kennel Club (the Manchester Terrier is placed in the Terrier Group.)",Neither the Fédération Cynologique Internationale nor The Kennel Club recognize a Toy variety of the Manchester Terrier.,The Scotch Collie is a landrace breed of dog which originated from the highland regions of Scotland.,The breed consisted of both the long-haired (now known as Rough) Collie and the short-haired (now known as Smooth) Collie.,"It is generally believed to have descended from a variety of ancient herding dogs, some dating back to the Roman occupation, which may have included Roman Cattle Dogs, Native Celtic Dogs and Viking Herding Spitzes.",Other ancestors include the Gordon and Irish Setters.,"The collie is a distinctive type of herding dog, including many related landraces and standardised breeds.",The type originated in Scotland and Northern England.,"The collie is a medium-sized, fairly lightly built dog, with a pointed snout.",Many types have a distinctive white pattern over the shoulders.,"Collies are very active and agile, and most types of collies have a very strong herding instinct.","Collie breeds have spread through many parts of the world (especially Australia and North America) and have diversified into many varieties, sometimes with mixture from other dog types.","Some collie breeds have remained as working dogs, used for herding cattle, sheep and other livestock, while others are kept as pets, show dogs or for dog sports, in which they display great agility, stamina and trainability.","While the AKC has a breed they call ""Collie"", in fact collie dogs are a distinctive type of herding dog including many related landraces and formal breeds.",There are usually major distinctions between show dogs and those bred for herding trials or dog sports.,"They typically display great agility, stamina and trainability and more importantly sagacity.",,,,,,,,,,,,,,The Manchester Terrier is a breed of dog of the smooth-haired terrier type.,The Scotch Collie is a landrace breed of dog which originated from the highland regions of Scotland.,Other ancestors include the Gordon and Irish Setters.,,
Where is the company that Sachin Warrier worked for as a software engineer headquartered? ,1,0.2,1.0,"Mumbai, Maharashtra",Mumbai,The company where Sachin Warrier worked as a software engineer is [ANSWER_1].,The headquarters of Tata Consultancy Services is located in [ANSWER_2].,,,Tata Consultancy Services,"Mumbai, Maharashtra",,,10,2,Sachin Warrier is a playback singer and composer in the Malayalam cinema industry from Kerala.,"He became notable with the song ""Muthuchippi Poloru"" from the film Thattathin Marayathu.",He made his debut with the movie Malarvaadi Arts Club.,He was working as a software engineer in Tata Consultancy Services in Kochi.,Later he resigned from the job to concentrate more on music.,His latest work is as a composer for the movie Aanandam.,Sachin Bansal (born 5 August 1981) is an Indian Software engineer and Internet entrepreneur known for co-founding India's e-commerce platform Flipkart.,Sachin is from Chandigarh and is an engineering graduate from Indian Institute of Technology Delhi.,"Tata Consultancy Services Limited (TCS) is an Indian multinational information technology (IT) service, consulting and business solutions company Headquartered in Mumbai, Maharashtra.",It is a subsidiary of the Tata Group and operates in 46 countries.,,,,,,,,,,,,,,,,,,,,,,He was working as a software engineer in Tata Consultancy Services in Kochi.,"Tata Consultancy Services Limited (TCS) is an Indian multinational information technology (IT) service, consulting and business solutions company Headquartered in Mumbai, Maharashtra.",,,
