question,correct,sp_precision,sp_recall,generated_answer,gold_answer,subquery_1,subquery_2,subquery_3,subquery_4,subquery_5,subanswer_1,subanswer_2,subanswer_3,subanswer_4,subanswer_5,num_retrieved,num_gold,retrieved_1,retrieved_2,retrieved_3,retrieved_4,retrieved_5,retrieved_6,retrieved_7,retrieved_8,retrieved_9,retrieved_10,retrieved_11,retrieved_12,retrieved_13,retrieved_14,retrieved_15,retrieved_16,retrieved_17,retrieved_18,retrieved_19,retrieved_20,retrieved_21,retrieved_22,retrieved_23,retrieved_24,retrieved_25,retrieved_26,retrieved_27,retrieved_28,retrieved_29,retrieved_30,retrieved_31,gold_1,gold_2,gold_3,gold_4,gold_5
What was the father of Kasper Schmeichel voted to be by the IFFHS in 1992?,0,0.3,1.0,IFFHS,World's Best Goalkeeper,Who is Kasper Schmeichel? [ANSWER_1],What is the IFFHS? [ANSWER_2],In which year was the father of Kasper Schmeichel voted by the IFFHS? [ANSWER_3],,,Danish professional footballer who plays as a goalkeeper for Leicester City and the Denmark national team.,An association football award organization,1992,,,10,3,Kasper Peter Schmeichel (] ; born 5 November 1986) is a Danish professional footballer who plays as a goalkeeper for Premier League club Leicester City and the Denmark national team.,He is the son of former Manchester United and Danish international goalkeeper Peter Schmeichel.,"Peter Bolesław Schmeichel MBE (] ; born 18 November 1963) is a Danish former professional footballer who played as a goalkeeper, and was voted the IFFHS World's Best Goalkeeper in 1992 and 1993.","He is best remembered for his most successful years at English club Manchester United, whom he captained to the 1999 UEFA Champions League to complete the Treble, and for winning UEFA Euro 1992 with Denmark.","The IFFHS World's Best Club Coach is an association football award given annually, since 1996, to the most outstanding club coach as voted by the International Federation of Football History & Statistics (IFFHS).","The votes, in 1996, were cast by IFFHS's editorial staff as well as experts from 89 countries spanning six different continents.","Since then, the votes are now awarded by 81 experts and selected editorial offices from all of the continents.",The IFFHS World's Best Goalkeeper is a football award given annually since 1987 to the most outstanding goalkeeper of the year as voted by the International Federation of Football History & Statistics (IFFHS).,The votes are cast by IFFHS's editorial staff as well as experts from different continents.,currently the worlds best goalkeeper from 2013-2016 is Manuel Neuer.,,,,,,,,,,,,,,,,,,,,,,Kasper Peter Schmeichel (] ; born 5 November 1986) is a Danish professional footballer who plays as a goalkeeper for Premier League club Leicester City and the Denmark national team.,He is the son of former Manchester United and Danish international goalkeeper Peter Schmeichel.,"Peter Bolesław Schmeichel MBE (] ; born 18 November 1963) is a Danish former professional footballer who played as a goalkeeper, and was voted the IFFHS World's Best Goalkeeper in 1992 and 1993.",,
Who was the writer of These Boots Are Made for Walkin' and who died in 2007?,1,0.0455,0.5,"Lee Hazlewood, Jim Shoulders",Barton Lee Hazlewood,Who was the writer of These Boots Are Made for Walkin'? [ANSWER_1],Who died in 2007? [ANSWER_2],,,,Lee Hazlewood,Jim Shoulders,,,,22,2,"""These Boots Are Made for Walkin' is a hit song written by Lee Hazlewood and recorded by Nancy Sinatra.","It charted January 22, 1966 and reached No. 1 in the United States ""Billboard"" Hot 100 and in the UK Singles Chart.",Boots is a 1966 debut studio album by Nancy Sinatra.,The album was produced by Lee Hazlewood.,Billy Strange was the arranger and conductor.,"The album is titled after the song on the album ""These Boots Are Made for Walkin'"", which became a #1 hit for Sinatra.",Most of the other songs on the album are covers of then-recent hits.,"Abdul Wali was an Afghan man who died in US custody on June 21, 2003 at the age of 28.","At the time of his death, he had been held for three days at the US base 10 miles south of Asadabad, in Kunar Province, Afghanistan, on suspicion of involvement in a rocket attack on the same base.","The cause of his death was at first reported to be a heart attack, but this came into question when three members of the U.S. 82nd Airborne Division came forward to testify that CIA contractor David Passaro assaulted Wali.","Passaro, a former U.S. Army Ranger, allegedly beat Wali for two consecutive nights, causing grievous injuries including a fractured pelvis.","Prosecutors would charge that Passaro ordered soldiers not to allow Wali to sleep, limited his access to food and water and subjected him to two consecutive nights of interrogation and beatings.","Among other injuries, Wali suffered a suspected fractured pelvis that would have made it impossible for him to urinate.","Witnesses testified that during one session Passaro, while wearing combat boots, kicked Wali in the groin hard enough to lift him off the ground, threw Wali to the ground, beat Wali on the arms and legs with a heavy Maglite flashlight, and that Passaro also vigorously thrust a flashlight into Wali's abdomen.","After the second night of beatings, Wali begged the soldiers to kill him and moaned a phrase that meant, ""I'm dying.""",Wali died on his fourth day in custody.,He repeatedly denied any involvement in the rocket attacks.,"James A. Shoulders (May 13, 1928 – June 20, 2007) was an American professional rodeo cowboy and rancher.","He is commemorated at the ProRodeo Hall of Fame and at the time of his death, was the most successful contestant in the Professional Rodeo Cowboys Association (PRCA).","Known as the 'Babe Ruth of rodeo', Shoulders was a spokesperson for a number of commercial products such as Miller Lite, Justin Boots and Wrangler Jeans.","He was born in Tulsa, Oklahoma and died in Henryetta, Oklahoma.",He was of English descent.,,,,,,,,,,"""These Boots Are Made for Walkin' is a hit song written by Lee Hazlewood and recorded by Nancy Sinatra.","Barton Lee Hazlewood (July 9, 1929 – August 4, 2007) was an American country and pop singer, songwriter, and record producer, most widely known for his work with guitarist Duane Eddy during the late 1950s and singer Nancy Sinatra in the 1960s.",,,
"The 2011–12 VCU Rams men's basketball team, led by third year head coach Shaka Smart, represented Virginia Commonwealth University which was founded in what year?",1,0.0833,1.0,1838,1838,What year was Virginia Commonwealth University founded? [ANSWER_1],Who led the 2011–12 VCU Rams men's basketball team? [ANSWER_2],What year was the 2011–12 VCU Rams men's basketball team led by Shaka Smart? [ANSWER_3],,,1838,Shaka Smart,2011–12,,,24,2,"Virginia Commonwealth University (VCU) is a public research university located in Richmond, Virginia.","VCU was founded in 1838 as the medical department of Hampden–Sydney College, becoming the Medical College of Virginia in 1854.","In 1968, the Virginia General Assembly merged MCV with the Richmond Professional Institute, founded in 1917, to create Virginia Commonwealth University.","In 2015, more than 31,000 students pursue 226 degree and certificate programs through VCU's 13 schools and one college.","The VCU Health System supports the university's health care education, research and patient care mission.",The 2014–15 VCU Rams men's basketball team represented Virginia Commonwealth University during the 2014–15 NCAA Division I men's basketball season.,It was the 47th season of the University fielding a men's basketball program.,"Led by sixth-year head coach Shaka Smart, they continued to play their home games at the Stuart C. Siegel Center.",They were a member of the Atlantic 10 Conference.,"They finished the season 26–10, 12–6 in A-10 play to finish in a tie for fourth place.","They defeated Fordham, Richmond, Davidson, and Dayton to become champions of the Atlantic 10 Tournament.",They received an automatic bid to the NCAA Tournament where they lost in the second round to Ohio State.,The 2011–12 VCU Rams men's basketball team represented Virginia Commonwealth University during the 2011–12 NCAA Division I men's basketball season.,It was the 44th season of the University fielding a men's basketball program.,"Led by third-year head coach Shaka Smart, the Rams were coming off a season marked by a run to the Final Four.","Expected to finish lower in the CAA regular season standings, the Rams finished as regular season runners-up with a 15–3 conference record, before winning the 2012 CAA Men's Basketball Championship against Drexel, 59–56, earning their 11th ever berth into the NCAA Tournament.",It was also the first season since 1984–85 that the Rams consecutively qualified for the NCAA Tournament.,The 2012–13 VCU Rams men's basketball team represented Virginia Commonwealth University during the 2012–13 NCAA Division I men's basketball season.,It was the 45th season of the University fielding a men's basketball program.,"Led by fourth-year head coach Shaka Smart, they played their home games at the Stuart C. Siegel Center.","This was the Rams inaugural season in the Atlantic 10 Conference (A10), after spending the past 17 years in the Colonial Athletic Association (CAA).","They finished the season 27–9, 12–4 in A10 play to finish in second place.",They advanced to the championship game of the 2013 Atlantic 10 Tournament where they lost to Saint Louis.,"They received an at-large bid to the 2013 NCAA Tournament, their third straight NCAA Tournament appearance, where they defeated Akron in the first round before losing in the third round to Michigan.",,,,,,,,"Led by third-year head coach Shaka Smart, the Rams were coming off a season marked by a run to the Final Four.","VCU was founded in 1838 as the medical department of Hampden–Sydney College, becoming the Medical College of Virginia in 1854.",,,
"Are both Dictyosperma, and Huernia described as a genus?",1,0.1818,1.0,Yes,yes,Is Dictyosperma a genus? [ANSWER_1],Is Huernia a genus? [ANSWER_2],Are both Dictyosperma and Huernia described as genera? [ANSWER_3],,,Yes,Yes,Yes,,,11,2,"Dictyosperma is a monotypic genus of flowering plant in the palm family found in the Mascarene Islands in the Indian Ocean (Mauritius, Réunion and Rodrigues).","The sole species, Dictyosperma album, is widely cultivated in the tropics but has been farmed to near extinction in its native habitat.","It is commonly called princess palm or hurricane palm, the latter owing to its ability to withstand strong winds by easily shedding leaves.","It is closely related to, and resembles, palms in the ""Archontophoenix"" genus.","The genus is named from two Greek words meaning ""net"" and ""seed"" and the epithet is Latin for ""white"", the common color of the crownshaft at the top of the trunk.","The genus Huernia (family Apocynaceae, subfamily Asclepiadoideae) consists of stem succulents from Eastern and Southern Africa, first described as a genus in 1810.","The flowers are five-lobed, usually somewhat more funnel- or bell-shaped than in the closely related genus ""Stapelia"", and often striped vividly in contrasting colours or tones, some glossy, others matt and wrinkled depending on the species concerned.","To pollinate, the flowers attract flies by emitting a scent similar to that of carrion.","The genus is considered close to the genera ""Stapelia"" and ""Hoodia"".",The name is in honour of Justin Heurnius (1587–1652) a Dutch missionary who is reputed to have been the first collector of South African Cape plants.,His name was actually mis-spelt by the collector.,,,,,,,,,,,,,,,,,,,,,"Dictyosperma is a monotypic genus of flowering plant in the palm family found in the Mascarene Islands in the Indian Ocean (Mauritius, Réunion and Rodrigues).","The genus Huernia (family Apocynaceae, subfamily Asclepiadoideae) consists of stem succulents from Eastern and Southern Africa, first described as a genus in 1810.",,,
Kaiser Ventures corporation was founded by an American industrialist who became known as the father of modern American shipbuilding?,1,0.1875,1.0,Henry J. Kaiser,Henry J. Kaiser,Who founded Kaiser Ventures Corporation? [ANSWER_1],What is the name of the American industrialist who founded Kaiser Ventures Corporation? [ANSWER_2],What is the name of the industrialist who became known as the father of modern American shipbuilding? [ANSWER_3],,,Henry J. Kaiser,Henry J. Kaiser,Henry J. Kaiser,,,16,3,"Kaiser Ventures (formerly Kaiser Steel) corporation, headquartered in Ontario, California.","It was founded by Henry J. Kaiser to provide steel plate for the Pacific Coast shipbuilding industry, which expanded during World War II, then shrank, then expanded again during the Korean War.","California Shipbuilding Corporation on Terminal Island, California, was one of these shipyards which built hundreds of Liberty ships and Victory ships in World War II, and was also a project of Henry Kaiser.","Kaiser Steel was noted for making the most of its costly steelmaking inputs, and it captured, along with the U.S. Steel plant in Utah, much of the Pacific Coast steel market by the late 1950s.","Its assets included steelmaking plants in Napa, California (that it acquired from Basalt Rock Company in 1955) and Fontana, California (now operated by California Steel Industries), and a former open-pit iron ore mine at Eagle Mountain, California.",Steel manufactured was also used in Kaiser Motors.,"Edgar Fosburgh Kaiser Sr. (July 29, 1908 – December 7, 1981) was an American industrialist, who was Chairman of Kaiser Aluminum and Chemical Corporation, the Kaiser Cement Corporation and the Kaiser Steel Corporation.","Henry John Kaiser (May 9, 1882 – August 24, 1967) was an American industrialist who became known as the father of modern American shipbuilding.","He established the Kaiser Shipyards, which built Liberty ships during World War II, after which he formed Kaiser Aluminum and Kaiser Steel.",Kaiser organized Kaiser Permanente health care for his workers and their families.,"He led Kaiser-Frazer followed by Kaiser Motors, automobile companies known for the safety of their designs.","Kaiser was involved in large construction projects such as civic centers and dams, and invested in real estate.","With his wealth, he established the Kaiser Family Foundation, a nonprofit, non-partisan, charitable organization.",John Roach & Sons was a major 19th-century American shipbuilding and manufacturing firm founded in 1864 by Irish-American immigrant John Roach.,"Between 1871 and 1885, the company was the largest shipbuilding firm in the United States, building more iron ships than its next two major competitors combined.","It was also by far the largest contractor to the U.S. Navy during this period, and at its peak is said to have been the nation's largest employer behind the railroads.",,,,,,,,,,,,,,,,"Kaiser Ventures (formerly Kaiser Steel) corporation, headquartered in Ontario, California.","It was founded by Henry J. Kaiser to provide steel plate for the Pacific Coast shipbuilding industry, which expanded during World War II, then shrank, then expanded again during the Korean War.","Henry John Kaiser (May 9, 1882 – August 24, 1967) was an American industrialist who became known as the father of modern American shipbuilding.",,
"What is the name for the adventure in ""Tunnels and Trolls"", a game designed by Ken St. Andre?",1,0.2857,1.0,Arena of Khazan,Arena of Khazan,"What is the name of the game ""Tunnels and Trolls""? [ANSWER_1]","Who designed the game ""Tunnels and Trolls""? [ANSWER_2]","What is the name of the adventure in ""Tunnels and Trolls""? [ANSWER_3]",,,Tunnels &amp; Trolls,Ken St. Andre,Arena of Khazan,,,7,2,"Tunnels & Trolls (abbreviated ""T&T"") is a fantasy role-playing game designed by Ken St. Andre and first published in 1975 by Flying Buffalo.","The second modern role-playing game published, it was written by Ken St. Andre to be a more accessible alternative to ""Dungeons & Dragons"" and is suitable for solitaire, group, and play-by-mail gameplay.","Crusaders of Khazan is a computer adaptation of the tabletop role-playing game ""Tunnels and Trolls"", developed and published by New World Computing in 1990 for the PC, FM Towns, PC-88 and PC-98.","The game is available from Flying Buffalo and in Fiery Dragon's ""Tunnels and Trolls 30th Anniversary Edition"".","Kenneth Eugene St. Andre (born on April 28, 1947 in Ogden, Utah) is an American fantasy author and game designer, best known for his work with ""Tunnels & Trolls"" and ""Wasteland"".","He has been an active member of ""The Science Fiction and Fantasy Writers of America"" since 1989.","Arena of Khazan is a 1979 role-playing game adventure for ""Tunnels & Trolls"" published by Flying Buffalo.",,,,,,,,,,,,,,,,,,,,,,,,,"Arena of Khazan is a 1979 role-playing game adventure for ""Tunnels & Trolls"" published by Flying Buffalo.","Tunnels & Trolls (abbreviated ""T&T"") is a fantasy role-playing game designed by Ken St. Andre and first published in 1975 by Flying Buffalo.",,,
"When was Poison's album ""Shut Up, Make Love"" released?",0,0.0769,0.5,1986,2000,Who is Poison? [ANSWER_1],What album is An American rock band achieving great commercial success in the mid-1980s to the mid-1990s. known for? [ANSWER_2],When was Poison released? [ANSWER_3],,,An American rock band achieving great commercial success in the mid-1980s to the mid-1990s.,Poison,1986,,,13,2,Poison is an American rock band that achieved great commercial success in the mid-1980s to the mid-1990s.,Poison has sold over 40 million records worldwide and has sold 15 million records in the United States alone.,"The band has also charted ten singles to the Top 40 of the ""Billboard"" Hot 100, including six Top 10 singles and the Hot 100 number-one, ""Every Rose Has Its Thorn"".","The band's breakthrough debut album, the multi-platinum ""Look What the Cat Dragged In"", was released in 1986 and they hit their peak with the second album, ""Open Up and Say... Ahh!",""", which became the band's most successful album, being certified 5x platinum in the US.","The popularity continued into the new decade with their third consecutive multi-platinum selling album, ""Flesh & Blood"".","""Be the One"" is a power ballad by American rock band Poison.","The song was released as the second single from their 2000 ""Crack a Smile...and More!",""" album.","The single/sampler was released in February 2000 and featured five b-sides including the first single from the album ""Shut Up, Make Love"" and the four unplugged bonus tracks from the album: ""Every Rose Has Its Thorn"", ""Talk Dirty to Me"", ""Your Mama Don't Dance"" and ""Something to Believe In"".",Greatest Hits is a compilation album by American recording artist Dan Fogelberg.,"It included two previously unreleased tracks, ""Missing You"" and ""Make Love Stay"", both of which were released as singles and peaked at chart positions #23 and #29 on the ""Billboard"" Hot 100 chart, respectively.","Both of the new songs made the Top 10 on the adult contemporary chart, with ""Missing You"" rising to #6 and ""Make Love Stay"" becoming the singer's third #1 on the AC chart.",,,,,,,,,,,,,,,,,,,"""Shut Up, Make Love"" is a song by American rock band Poison; released in 2000, it was the first single presented to radio stations from their 2000 ""Crack a Smile...and More!",Poison is an American rock band that achieved great commercial success in the mid-1980s to the mid-1990s.,,,
"Hayden is a singer-songwriter from Canada, but where does Buck-Tick hail from?",0,0.1333,1.0,"Thornhill, Ontario","Fujioka, Gunma",Identify the origin of Buck-Tick. [ANSWER_1],Determine the origin of Hayden. [ANSWER_2],,,,Japan,"Thornhill, Ontario",,,,15,2,"Buck-Tick (stylized as BUCK-TICK) is a Japanese rock band, formed in Fujioka, Gunma in 1983.","The group has consisted of Atsushi Sakurai (lead vocals), Hisashi Imai (guitar), Hidehiko Hoshino (guitar), Yutaka Higuchi (bass) and Toll Yagami (drums) since 1985.","In their three decade career, the band has released 20 studio albums, nearly all reaching the top ten on the charts, of which three in the late eighties and early nineties topped them.",They are commonly credited as one of the founders of the visual kei movement.,"Atsushi Sakurai (櫻井 敦司 , Sakurai Atsushi , born March 7, 1966 in Fujioka, Gunma) is a Japanese musician and singer-songwriter.","He has been the vocalist of the rock band Buck-Tick since 1985, previously being their drummer from 1983.","He released the solo album ""Ai no Wakusei"" in 2004 and was also a member of Schwein alongside Hisashi Imai (Buck-Tick), Sascha Konietzko (KMFDM) and Raymond Watts.","In 2015, he formed a solo project called The Mortal.","Paul Hayden Desser (born February 12, 1971) who records as Hayden, is a Canadian singer-songwriter from Thornhill, Ontario.",Skyscraper National Park is the third album by Canadian singer-songwriter Hayden.,"It was released on Hardwood Records in Canada, on Badman Recording Co. in the U.S., on Loose Music in the U.K., and on Massive!",in the Japan.,There were two limited-edition pressings of this album.,"The first, comprising only 100 copies, was mainly for Hayden's friends and family.","The second, comprising 1,500 copies, was sold on Hayden's cross-Canada tour.",,,,,,,,,,,,,,,,,"Paul Hayden Desser (born February 12, 1971) who records as Hayden, is a Canadian singer-songwriter from Thornhill, Ontario.","Buck-Tick (stylized as BUCK-TICK) is a Japanese rock band, formed in Fujioka, Gunma in 1983.",,,
Which  French ace pilot and adventurer fly L'Oiseau Blanc,0,0.1111,0.5,Charles Nungesser,Charles Eugène,Identify the French ace pilot and adventurer who flew L'Oiseau Blanc.,Determine the nationality of the pilot.,Confirm the nationality of the pilot is French.,Identify the specific pilot and adventurer associated with L'Oiseau Blanc.,,Charles Nungesser,French,Yes,Charles Nungesser and François Coli,,9,2,"L'Oiseau Blanc (commonly known in the English-speaking world as The White Bird ) was a French Levasseur PL.8 biplane that disappeared in 1927, during an attempt to make the first non-stop transatlantic flight between Paris and New York City to compete for the Orteig Prize.","The aircraft was flown by French World War I aviation heroes, Charles Nungesser and François Coli.",The aircraft took off from Paris on 8 May 1927 and was last seen over Ireland.,"Less than two weeks later, Charles Lindbergh successfully made the New York–Paris journey and claimed the prize, flying the ""Spirit of St. Louis"".","François Coli (June 5, 1881 – presumably on or after May 8, 1927) was a French pilot and navigator best known as the one-eyed flying partner of Charles Nungesser in their doomed attempt to fly the Atlantic Ocean on the aircraft known as ""L'Oiseau Blanc"".","William Earl Johns (5 February 189321 June 1968) was an English pilot and writer of adventure stories, usually written under the pen name Captain W. E. Johns.",He is best remembered as the creator of the ace pilot and adventurer Biggles.,"Gervais Raoul Victor Lufbery (March 14, 1885 – May 19, 1918) was a French and American fighter pilot and flying ace in World War I. Because he served in both the French Air Force, and later the United States Army Air Service in World War I, he is sometimes listed alternately as a French ace or as an American ace.","Officially, all but one of his 17 combat victories came while flying in French units.",,,,,,,,,,,,,,,,,,,,,,,"The aircraft was flown by French World War I aviation heroes, Charles Nungesser and François Coli.","Charles Eugène Jules Marie Nungesser, MC (15 March 1892 – presumably on or after 8 May 1927) was a French ace pilot and adventurer, best remembered as a rival of Charles Lindbergh.",,,
Are Freakonomics and In the Realm of the Hackers both American documentaries?,0,0.1111,1.0,Yes,no,"What is the genre of ""Freakonomics""? [ANSWER_1]","What is the genre of ""In the Realm of the Hackers""? [ANSWER_2]","Are both ""Freakonomics"" and ""In the Realm of the Hackers"" American documentaries? [ANSWER_3]",,,non-fiction,Documentary,Yes,,,18,2,Freakonomics Radio is an American public radio program which discusses socioeconomic issues for a general audience.,"The show is a spin-off of the 2005 book ""Freakonomics"".","Journalist Stephen Dubner hosts the show, with economist Steven Levitt as a regular guest.","The show is also distributed as a podcast, and is among the most popular on iTunes.","Created in September 2010, it is a weekly podcast.","Twice a year, a series of one-hour ""Freakonomics Radio"" specials air on public-radio stations around the country.","Freakonomics: The Movie is a 2010 American documentary film based on the 2005 book ""Freakonomics: A Rogue Economist Explores the Hidden Side of Everything"" by economist Steven D. Levitt and writer Stephen J. Dubner.",The film premiered at the Tribeca Film Festival in April 2010 with a theatrical release later in the year.,The film received a lukewarm reception and a 65% fresh rating at Rottentomatoes.,"In The Realm of the Hackers is a 2003 Australian documentary directed by Kevin Anderson about the prominent hacker community, centered in Melbourne, Australia in the late 1980s until early 1990.","The storyline is centered on the Australian teenagers going by the hacker names ""Electron"" and ""Phoenix"", who were members of an elite computer hacking group called 'The Realm' and hacked into some of the most secure computer networks in the world, including those of the US Naval Research Laboratory, Lawrence Livermore National Laboratory, a government lab charged with the security of the US nuclear stockpile, and NASA.","The film runs for 55 minutes and was inspired by the book ""Underground"", by Melbourne-based writer and academic Suelette Dreyfus.","Hackers is a 1995 American crime film directed by Iain Softley and starring Jonny Lee Miller, Angelina Jolie, Renoly Santiago, Matthew Lillard, Jesse Bradford, Lorraine Bracco, and Fisher Stevens.",The film follows a group of high school hackers and their involvement in a corporate extortion conspiracy.,"Made in the 1990s when the internet was unfamiliar to the general public, it reflects the ideals laid out in the Hacker Manifesto quoted in the film: ""This is our world now... the world of the electron and the switch [...] We exist without skin color, without nationality, without religious bias... and you call us criminals.","[...] Yes, I am a criminal.","My crime is that of curiosity.""","""Hackers"" has achieved cult classic status.",,,,,,,,,,,,,,"Freakonomics: The Movie is a 2010 American documentary film based on the 2005 book ""Freakonomics: A Rogue Economist Explores the Hidden Side of Everything"" by economist Steven D. Levitt and writer Stephen J. Dubner.","In The Realm of the Hackers is a 2003 Australian documentary directed by Kevin Anderson about the prominent hacker community, centered in Melbourne, Australia in the late 1980s until early 1990.",,,
"Which band, Letters to Cleo or Screaming Trees, had more members?",1,0.25,1.0,Letters to Cleo,Letters to Cleo,What band is Letters to Cleo? [ANSWER_1],How many members did Letters to Cleo have? [ANSWER_2],What band is Screaming Trees? [ANSWER_3],How many members did Screaming Trees have? [ANSWER_4],Compare the number of members from 5 and Five. [ANSWER_5],"Alternative rock band from Boston, Massachusetts.",5,Screaming Trees,Five,2,16,4,"Letters to Cleo are an alternative rock band from Boston, Massachusetts, best known for the 1994 single, ""Here & Now"", from their full-length debut album, ""Aurora Gory Alice"".","The band's members are Kay Hanley, Greg McKenna, Michael Eisenstein, Stacy Jones, Scott Riebling, and later, Tom Polce.",Truly is an American rock band formed in the wake of the grunge era.,"It featured singer-guitarist Robert Roth, bassist Hiro Yamamoto, and drummer Mark Pickerel.",Yamamoto and Pickerel were founding members respectively of Soundgarden and Screaming Trees.,"While not a commercially successful group like some of their Seattle contemporaries, the band lasted a decade with two studio albums to their name.","Screaming Trees was an American rock band formed in Ellensburg, Washington in 1985 by vocalist Mark Lanegan, guitarist Gary Lee Conner, bass player Van Conner and drummer Mark Pickerel.",Pickerel had been replaced by Barrett Martin by the time the band reached its most successful period.,"Although widely associated with grunge, the band's sound incorporated hard rock and psychedelic elements.","During Screaming Trees' existence the band released seven studio albums, five EPs, and three compilations.","The discography of Screaming Trees, an Ellensburg, Washington-based rock band, consists of seven studio albums, three compilation albums, five extended plays (EP), and six singles, though this does not include any solo material recorded by the individual members of Screaming Trees.","Mad Season was an American rock supergroup formed in Seattle, Washington in 1994 by members of three popular Seattle-based bands: Alice in Chains, Pearl Jam and Screaming Trees.","Mad Season released only one album, ""Above"", and is best known for the single ""River of Deceit"".",The band went on a semi-permanent hiatus in 1996 due to the band members' conflicting schedules and vocalist Layne Staley's problems with substance abuse.,"Attempts were made in the late 1990s to revive the group without Staley; however, the band dissolved following the death of bassist John Baker Saunders in 1999.",Staley died three years later of a drug overdose.,,,,,,,,,,,,,,,,"Letters to Cleo are an alternative rock band from Boston, Massachusetts, best known for the 1994 single, ""Here & Now"", from their full-length debut album, ""Aurora Gory Alice"".","The band's members are Kay Hanley, Greg McKenna, Michael Eisenstein, Stacy Jones, Scott Riebling, and later, Tom Polce.","Screaming Trees was an American rock band formed in Ellensburg, Washington in 1985 by vocalist Mark Lanegan, guitarist Gary Lee Conner, bass player Van Conner and drummer Mark Pickerel.",Pickerel had been replaced by Barrett Martin by the time the band reached its most successful period.,
Alexander Kerensky was defeated and destroyed by the Bolsheviks in the course of a civil war that ended when ?,0,0.0455,0.5,1923,October 1922,Who was Alexander Kerensky? [ANSWER_1],What civil war did Alexander Kerensky participate in? [ANSWER_2],When did the civil war end? [ANSWER_3],,,"Russian lawyer and key political figure in the Russian Revolution of 1917, Minister of Justice, Minister of War, and Minister-Chairman of the Russian Provisional Government.",Russian Civil War,1923,,,22,2,"Alexander Fyodorovich Kerensky (Russian: Алекса́ндр Фёдорович Ке́ренский , ] ; 4 May 1881 – 11 June 1970) was a Russian lawyer and key political figure in the Russian Revolution of 1917.","After the February Revolution of 1917 he joined the newly formed Russian Provisional Government, first as Minister of Justice, then as Minister of War, and after July 1917 as the government's second Minister-Chairman.","A leader of the moderate-socialist Trudoviks faction of the Socialist Revolutionary Party, he was also vice-chairman of the powerful Petrograd Soviet.","On 7 November, his government was overthrown by the Lenin-led Bolsheviks in the October Revolution.","He spent the remainder of his life in exile, in Paris and New York City, and worked for the Hoover Institution.",Kerensky–Krasnov uprising was an attempt by Alexander Kerensky to regain power after the Bolsheviks overthrew his Provisional Government in Petrograd.,"The Russian Civil War (Russian: Гражда́нская война́ в Росси́и , ""Grazhdanskaya voyna v Rossiyi"" ; November 1917 – October 1922) was a multi-party war in the former Russian Empire immediately after the Russian Revolutions of 1917, as many factions vied to determine Russia's political future.","The two largest combatant groups were the Red Army, fighting for the Bolshevik form of socialism led by Vladimir Lenin, and the loosely allied forces known as the White Army, which included diverse interests favoring monarchism, capitalism and alternative forms of socialism, each with democratic and antidemocratic variants.","In addition, rival militant socialists and nonideological Green armies fought against both the Bolsheviks and the Whites.","Eight foreign nations intervened against the Red Army, notably the Allied Forces and the pro-German armies.",The Red Army defeated the White Armed Forces of South Russia in Ukraine and the army led by Admiral Aleksandr Kolchak in Siberia in 1919.,The remains of the White forces commanded by Pyotr Nikolayevich Wrangel were beaten in Crimea and evacuated in late 1920.,"Lesser battles of the war continued on the periphery for two more years, and minor skirmishes with the remnants of the White forces in the Far East continued well into 1923.","The war ended in 1923 in the sense that Red control of the newly formed Soviet Union was now assured, although armed national resistance in Central Asia was not completely crushed until 1934.","There were an estimated 7,000,000–12,000,000 casualties during the war, mostly civilians.",The Russian Civil War has been described by some as the greatest national catastrophe that Europe had yet seen.,The Battle of Romanovka was fought in June 1919 during the Russian Civil War.,"Russian Bolsheviks of Yakov Triapitsyn launched a surprise attack on an American army camp at Romanovka, Siberia near Vladivostok.","As a result of the engagement, the attacks were repelled.",Romanovka and the Suchan Valley Campaign that followed were the final major engagements of the Russian Civil War involving the United States.,"Battles would later break out again between the Americans and Bolsheviks, as well as the Cossacks, on much smaller scales.","Likewise, the Americans were invariably victorious.",,,,,,,,,,"The anti-Bolshevik faction of this party, known as the Right SRs, which remained loyal to the Provisional Government leader Alexander Kerensky was defeated and destroyed by the Bolsheviks in the course of the Russian Civil War and subsequent persecution.","The Russian Civil War (Russian: Гражда́нская война́ в Росси́и , ""Grazhdanskaya voyna v Rossiyi"" ; November 1917 – October 1922) was a multi-party war in the former Russian Empire immediately after the Russian Revolutions of 1917, as many factions vied to determine Russia's political future.",,,
